pl_name,hostname,discovery_year,discovery_method,orbital_period_days,radius_earth,mass_earth,semi_major_axis_au,stellar_temp_k,stellar_radius_solar,stellar_mass_solar,distance_pc,hz_inner_au,hz_outer_au,potentially_habitable,consortium
PYC-2005-0031,PYC Star 168,2005,Imaging,10.242,3.954,23.841,0.0926,4502.0,0.992,1.009,250.9,0.451,1.065,0,Kepler
PYC-2014-0032,PYC Star 013,2014,Transit,258.574,1.136,1.333,0.6617,3536.0,0.761,0.578,265.4,0.214,0.504,0,K2
PYC-2004-0033,PYC Star 559,2004,Transit,0.456,5.829,45.905,0.0136,5300.0,0.644,1.6,120.8,0.406,0.959,0,TESS
PYC-2008-0034,PYC Star 111,2008,Transit,1.701,8.506,306.831,0.0337,4362.0,0.896,1.759,47.8,0.383,0.904,0,Kepler
PYC-2009-0035,PYC Star 405,2009,Transit,2.157,13.716,1015.368,0.0325,3436.0,1.21,0.981,61.1,0.321,0.758,0,OGLE
PYC-2015-0036,PYC Star 469,2015,Transit,115.889,0.953,1.315,0.4211,6518.0,1.631,0.742,52.4,1.557,3.673,0,TESS
PYC-2008-0037,PYC Star 550,2008,Transit,1130.297,1.199,0.904,1.9652,4004.0,0.465,0.793,190.4,0.168,0.396,0,Kepler
PYC-2009-0038,PYC Star 011,2009,Transit,0.706,1.358,2.011,0.0147,3475.0,1.99,0.853,14.7,0.54,1.274,0,HAT-P
PYC-2019-0039,PYC Star 518,2019,Transit,804.247,2.728,7.174,1.6716,5057.0,0.79,0.963,181.7,0.454,1.072,0,TESS
PYC-2012-0040,PYC Star 701,2012,Transit,599.412,1.286,1.702,1.6325,4739.0,1.365,1.616,44.7,0.688,1.625,0,Kepler
PYC-2008-0041,PYC Star 024,2008,Radial Velocity,0.792,3.592,58.316,0.0187,6138.0,0.646,1.397,94.8,0.547,1.29,0,TESS
PYC-2012-0042,PYC Star 356,2012,Transit,1.436,1.266,1.573,0.0279,4458.0,0.436,1.405,44.4,0.195,0.459,0,WASP
PYC-2019-0043,PYC Star 310,2019,Transit,9.089,0.638,0.157,0.0869,4467.0,0.498,1.062,155.9,0.223,0.527,0,TESS
PYC-2010-0044,PYC Star 307,2010,Radial Velocity,1.113,1.794,3.255,0.0184,5102.0,0.775,0.668,260.8,0.453,1.07,0,K2
PYC-2014-0045,PYC Star 412,2014,Radial Velocity,347.108,1.355,0.984,0.8836,4980.0,1.139,0.764,87.7,0.635,1.498,1,WASP
PYC-2020-0046,PYC Star 128,2020,Transit,35.922,11.975,332.765,0.2146,5007.0,0.913,1.021,206.6,0.514,1.213,0,WASP
PYC-2012-0047,PYC Star 450,2012,Transit,15.624,1.74,5.903,0.1063,5045.0,0.804,0.657,47.8,0.46,1.085,0,Kepler
PYC-2018-0048,PYC Star 070,2018,Transit,257.796,5.877,48.507,0.8213,4948.0,1.488,1.112,68.1,0.819,1.932,0,Kepler
PYC-2017-0049,PYC Star 090,2017,Transit,5.458,2.006,7.141,0.0666,4425.0,0.901,1.326,73.4,0.396,0.935,0,CoRoT
PYC-2014-0050,PYC Star 483,2014,Transit,953.449,1.772,4.481,2.0204,5549.0,1.021,1.21,63.1,0.706,1.667,0,Kepler
PYC-2007-0051,PYC Star 808,2007,Transit,136.843,1.862,3.857,0.5513,4476.0,3.65,1.193,146.0,1.643,3.877,0,Other
PYC-2002-0052,PYC Star 637,2002,Radial Velocity,8.806,1.469,3.048,0.0671,5524.0,0.897,0.52,150.6,0.615,1.451,0,Kepler
PYC-2002-0053,PYC Star 301,2002,Transit,49.442,1.208,1.022,0.308,6049.0,0.658,1.595,102.8,0.541,1.277,0,HAT-P
PYC-2010-0054,PYC Star 311,2010,Transit,4.05,7.478,284.76,0.0414,4190.0,1.117,0.578,289.7,0.441,1.04,0,Other
PYC-2010-0055,PYC Star 440,2010,Radial Velocity,2623.739,1.681,2.722,3.6572,6964.0,1.252,0.948,206.9,1.364,3.22,0,K2
PYC-1998-0056,PYC Star 032,1998,Transit,19.501,2.374,7.807,0.1524,4159.0,1.031,1.242,12.6,0.4,0.945,0,TESS
PYC-2014-0057,PYC Star 597,2014,Transit,1194.304,8.094,178.416,2.2971,4165.0,0.966,1.134,179.7,0.376,0.888,0,Kepler
PYC-2008-0058,PYC Star 121,2008,Transit,2465.751,5.667,128.356,3.0772,5286.0,1.754,0.639,68.5,1.101,2.598,0,CoRoT
PYC-2003-0059,PYC Star 647,2003,Transit,47.675,2.447,13.45,0.2264,5197.0,1.658,0.681,237.5,1.006,2.374,0,Other
PYC-2020-0060,PYC Star 337,2020,Transit,269.673,3.546,7.246,0.8447,4865.0,0.854,1.106,1.0,0.454,1.071,1,Other
PYC-2007-0061,PYC Star 340,2007,Transit,66.001,2.849,17.279,0.3393,5536.0,0.674,1.196,28.0,0.464,1.095,0,TESS
PYC-2017-0062,PYC Star 396,2017,Transit,0.906,4.844,25.282,0.0161,5027.0,1.092,0.679,126.0,0.62,1.463,0,OGLE
PYC-2007-0063,PYC Star 117,2007,Radial Velocity,1962.178,3.28,18.494,3.2111,6659.0,0.672,1.147,97.6,0.669,1.58,0,OGLE
PYC-1998-0064,PYC Star 216,1998,Transit,23.526,11.017,485.125,0.1346,4752.0,1.34,0.588,141.5,0.68,1.605,0,K2
PYC-2014-0065,PYC Star 187,2014,Transit,1165.761,9.923,327.235,2.3316,4031.0,1.089,1.244,81.8,0.398,0.938,0,OGLE
PYC-2007-0066,PYC Star 762,2007,Transit,138.858,5.162,91.626,0.4734,4303.0,2.993,0.734,229.5,1.245,2.938,0,Kepler
PYC-2006-0067,PYC Star 149,2006,Transit,1.023,6.857,213.96,0.0201,5224.0,1.747,1.029,10.5,1.071,2.527,0,Other
PYC-2002-0068,PYC Star 116,2002,Transit,16.526,1.37,1.54,0.1257,5237.0,0.554,0.97,292.4,0.341,0.805,0,KMT
PYC-2018-0069,PYC Star 220,2018,Transit,2.296,5.938,68.494,0.039,4986.0,0.713,1.501,317.3,0.398,0.939,0,TESS
PYC-2004-0070,PYC Star 382,2004,Transit,1.821,2.932,16.096,0.03,4035.0,0.38,1.088,68.4,0.139,0.328,0,K2
PYC-2015-0071,PYC Star 543,2015,Transit,236.087,12.269,313.119,0.6971,5798.0,0.344,0.811,36.3,0.26,0.613,0,Gaia
PYC-2018-0072,PYC Star 381,2018,Radial Velocity,0.523,8.758,222.19,0.0132,6543.0,0.947,1.134,482.7,0.911,2.15,0,Kepler
PYC-2015-0073,PYC Star 482,2015,Transit,2217.757,0.997,1.945,4.2733,4826.0,0.526,2.117,102.4,0.275,0.65,0,TESS
PYC-2023-0074,PYC Star 466,2023,Transit,22.159,0.82,0.281,0.1683,6430.0,1.884,1.296,258.5,1.749,4.128,0,TESS
PYC-2016-0075,PYC Star 152,2016,Transit,31.616,14.987,961.57,0.1943,5580.0,1.515,0.98,15.4,1.06,2.501,0,K2
PYC-2018-0076,PYC Star 007,2018,Transit,5.786,1.167,1.11,0.0572,6797.0,0.796,0.747,9.6,0.827,1.951,0,Kepler
PYC-2001-0077,PYC Star 613,2001,Transit,0.859,1.233,4.7,0.0165,5225.0,0.776,0.806,15.0,0.476,1.124,0,Kepler
PYC-2015-0078,PYC Star 849,2015,Transit,76.127,8.72,213.073,0.3806,4923.0,1.756,1.269,391.7,0.956,2.256,0,Other
PYC-2015-0079,PYC Star 058,2015,Radial Velocity,8.67,1.772,3.484,0.0745,5558.0,1.947,0.733,264.7,1.351,3.189,0,OGLE
PYC-2010-0080,PYC Star 826,2010,Transit,104.804,2.81,8.769,0.4352,4410.0,0.592,1.001,240.4,0.258,0.61,1,OGLE
PYC-2016-0081,PYC Star 818,2016,Transit,56.977,11.293,548.736,0.3427,5166.0,0.558,1.654,135.6,0.335,0.79,0,TESS
PYC-2006-0082,PYC Star 709,2006,Radial Velocity,2.771,3.463,28.927,0.0393,5998.0,0.786,1.054,53.7,0.635,1.499,0,WASP
PYC-2018-0083,PYC Star 510,2018,Transit,24.604,1.903,3.421,0.146,5538.0,1.093,0.685,121.7,0.753,1.777,0,TESS
PYC-2003-0084,PYC Star 306,2003,Transit,6.249,5.96,169.968,0.0856,4772.0,0.714,2.143,83.4,0.365,0.862,0,WASP
PYC-2018-0085,PYC Star 531,2018,Transit,3.396,11.01,585.508,0.0543,4980.0,1.103,1.853,238.0,0.615,1.451,0,KMT
PYC-1998-0086,PYC Star 011,1998,Radial Velocity,384.336,13.89,1432.253,1.0968,5482.0,2.165,1.192,33.2,1.461,3.449,0,Kepler
PYC-2025-0087,PYC Star 258,2025,Transit,0.445,9.954,333.837,0.0132,5452.0,0.478,1.563,53.8,0.319,0.753,0,Gaia
PYC-2006-0088,PYC Star 354,2006,Transit,4.406,1.089,1.408,0.051,5475.0,0.736,0.911,40.4,0.496,1.17,0,HIRES
PYC-2003-0089,PYC Star 460,2003,Transit,45.714,3.994,32.914,0.2723,5105.0,0.482,1.289,45.6,0.282,0.666,0,TESS
PYC-2020-0090,PYC Star 246,2020,Transit,28.0,6.828,306.018,0.1718,4058.0,0.618,0.862,1.0,0.228,0.539,0,Other
PYC-2016-0091,PYC Star 384,2016,Transit,1758.969,1.821,5.034,2.4346,4201.0,0.788,0.622,40.6,0.313,0.738,0,KMT
PYC-2011-0092,PYC Star 652,2011,Transit,743.506,1.914,5.428,2.1733,5215.0,0.649,2.477,68.1,0.396,0.936,0,Kepler
PYC-2014-0093,PYC Star 855,2014,Transit,327.014,1.745,3.38,0.7883,5548.0,1.137,0.611,231.5,0.786,1.856,1,Kepler
PYC-2012-0094,PYC Star 740,2012,Transit,39.278,10.401,340.666,0.2341,5432.0,0.963,1.11,115.1,0.638,1.507,0,WASP
PYC-2002-0095,PYC Star 069,2002,Transit,18.37,0.425,0.122,0.1409,4192.0,1.03,1.105,55.1,0.407,0.959,0,HAT-P
PYC-2024-0096,PYC Star 530,2024,Transit,0.554,4.128,60.089,0.014,4664.0,0.784,1.198,210.4,0.383,0.904,0,Kepler
PYC-2019-0097,PYC Star 413,2019,Transit,611.047,7.63,139.939,1.3946,3743.0,0.817,0.969,87.2,0.257,0.607,0,TESS
PYC-2018-0098,PYC Star 470,2018,Transit,18.668,1.201,1.716,0.1365,3548.0,0.769,0.973,96.3,0.217,0.513,0,TESS
PYC-2020-0099,PYC Star 712,2020,Imaging,7.012,1.001,1.099,0.0729,4873.0,0.805,1.05,161.2,0.429,1.013,0,TESS
PYC-2008-0100,PYC Star 294,2008,Radial Velocity,89.703,12.865,916.868,0.4148,6022.0,1.087,1.183,82.2,0.885,2.09,0,Kepler
PYC-1997-0101,PYC Star 490,1997,Transit,334.495,1.242,0.748,0.9428,4890.0,0.379,0.999,90.3,0.203,0.48,0,Kepler
PYC-1998-0102,PYC Star 798,1998,Transit,42.552,2.224,5.031,0.2366,6517.0,1.025,0.976,62.1,0.978,2.307,0,OGLE
PYC-2012-0103,PYC Star 509,2012,Imaging,1.52,4.651,27.484,0.0222,4652.0,0.609,0.63,66.3,0.296,0.699,0,Kepler
PYC-1998-0104,PYC Star 500,1998,Radial Velocity,1491.065,2.061,6.668,3.2307,4828.0,0.773,2.023,48.1,0.405,0.955,0,CoRoT
PYC-2017-0105,PYC Star 820,2017,Transit,1.095,1.209,1.044,0.0221,3908.0,0.446,1.206,56.0,0.153,0.361,0,CoRoT
PYC-2001-0106,PYC Star 027,2001,Transit,2286.701,9.928,304.852,3.4807,4487.0,0.766,1.076,50.8,0.346,0.818,0,Gaia
PYC-2013-0107,PYC Star 338,2013,Transit,20.734,3.924,19.242,0.1373,3729.0,1.02,0.804,113.7,0.319,0.752,0,Other
PYC-2010-0108,PYC Star 443,2010,Transit,1863.3,5.614,72.535,2.636,3409.0,1.106,0.704,106.4,0.289,0.681,0,Gaia
PYC-2004-0109,PYC Star 002,2004,Radial Velocity,1400.825,1.196,0.908,2.7088,3744.0,0.528,1.351,45.7,0.166,0.392,0,TESS
PYC-2015-0110,PYC Star 427,2015,Transit,15.01,10.757,703.092,0.1169,4877.0,1.082,0.946,165.9,0.578,1.364,0,Kepler
PYC-2021-0111,PYC Star 833,2021,Transit,503.741,14.887,1423.555,1.3321,4137.0,1.503,1.243,164.7,0.578,1.364,0,Kepler
PYC-2023-0112,PYC Star 709,2023,Transit,0.891,5.716,100.261,0.0155,4350.0,0.721,0.623,62.0,0.306,0.723,0,TESS
PYC-2004-0113,PYC Star 030,2004,Transit,0.837,3.008,15.066,0.0208,5169.0,0.9,1.718,59.6,0.54,1.275,0,Kepler
PYC-2012-0114,PYC Star 788,2012,Transit,9.581,1.703,1.441,0.0981,3406.0,0.355,1.371,99.0,0.092,0.218,1,Kepler
PYC-2010-0115,PYC Star 717,2010,Radial Velocity,92.26,1.222,1.34,0.3958,4873.0,0.601,0.972,281.8,0.321,0.757,1,K2
PYC-2020-0116,PYC Star 789,2020,Radial Velocity,0.435,1.004,0.69,0.0119,5563.0,1.017,1.178,116.2,0.707,1.668,0,K2
PYC-2001-0117,PYC Star 126,2001,Transit,39.664,0.75,0.536,0.2482,5641.0,1.383,1.296,2.2,0.989,2.334,0,TESS
PYC-2016-0118,PYC Star 807,2016,Transit,2414.079,13.72,1235.042,3.0132,5265.0,0.687,0.626,58.9,0.428,1.01,0,SPITZER
PYC-2006-0119,PYC Star 019,2006,Transit,848.376,3.913,40.834,2.1331,4753.0,2.992,1.799,236.0,1.518,3.583,0,K2
PYC-2012-0120,PYC Star 032,2012,Transit,3.183,3.632,53.768,0.0448,4239.0,1.037,1.184,100.3,0.418,0.987,0,Kepler
PYC-2013-0121,PYC Star 319,2013,Transit,44.5,3.094,14.188,0.2264,4726.0,0.507,0.782,59.9,0.255,0.601,0,TESS
PYC-2009-0122,PYC Star 734,2009,Transit,1.846,4.948,47.105,0.0259,6288.0,1.606,0.681,3.9,1.427,3.367,0,K2
PYC-2008-0123,PYC Star 777,2008,Transit,4.19,12.671,1237.891,0.0571,5046.0,0.512,1.413,1.0,0.293,0.691,0,HIRES
PYC-2004-0124,PYC Star 570,2004,Transit,1509.193,6.216,125.667,2.6392,4704.0,1.043,1.077,124.5,0.519,1.224,0,TESS
PYC-2018-0125,PYC Star 034,2018,Transit,2941.111,3.299,19.684,4.2501,5307.0,0.592,1.184,84.0,0.375,0.885,0,K2
PYC-2022-0126,PYC Star 786,2022,Transit,3.483,2.783,36.035,0.0451,4845.0,0.489,1.009,55.3,0.258,0.608,0,WASP
PYC-2015-0127,PYC Star 237,2015,Transit,2.654,1.165,1.988,0.0334,5003.0,1.388,0.704,83.8,0.78,1.842,0,TESS
PYC-2022-0128,PYC Star 670,2022,Transit,12.29,0.726,0.396,0.1106,4578.0,0.801,1.195,37.2,0.377,0.89,0,TESS
PYC-1998-0129,PYC Star 251,1998,Transit,21.369,5.801,68.562,0.1473,4427.0,1.957,0.933,55.1,0.861,2.033,0,Kepler
PYC-2008-0130,PYC Star 509,2008,Transit,0.887,9.075,600.359,0.018,5696.0,0.569,0.992,167.9,0.415,0.979,0,K2
PYC-2015-0131,PYC Star 086,2015,Microlensing,1.494,14.84,1232.288,0.0338,3045.0,0.446,2.298,289.1,0.093,0.219,0,Kepler
PYC-2015-0132,PYC Star 897,2015,Transit,17.713,0.547,0.211,0.1472,5231.0,0.725,1.356,97.1,0.446,1.052,0,HAT-P
PYC-2018-0133,PYC Star 084,2018,Transit,3.268,1.89,7.341,0.048,4371.0,3.305,1.383,505.4,1.418,3.347,0,Kepler
PYC-2003-0134,PYC Star 860,2003,Transit,752.028,5.705,143.648,2.223,3085.0,1.31,2.591,283.0,0.28,0.661,0,Kepler
PYC-2023-0135,PYC Star 817,2023,Transit,326.85,3.135,25.685,0.9712,3923.0,1.155,1.144,1.0,0.399,0.942,0,TESS
PYC-2008-0136,PYC Star 136,2008,Imaging,47.908,0.839,0.986,0.2618,4768.0,1.172,1.043,20.0,0.598,1.412,0,TESS
PYC-2008-0137,PYC Star 626,2008,Transit,18.99,4.748,71.95,0.1287,4891.0,0.724,0.788,70.7,0.389,0.918,0,K2
PYC-2025-0138,PYC Star 310,2025,Radial Velocity,664.031,3.578,36.292,1.413,5466.0,3.074,0.854,114.5,2.063,4.869,0,Other
PYC-2011-0139,PYC Star 280,2011,Transit,1.759,2.887,10.923,0.0225,5527.0,1.106,0.488,145.7,0.759,1.791,0,CoRoT
PYC-2015-0140,PYC Star 295,2015,Transit,1098.354,11.58,1441.388,2.2846,3408.0,1.06,1.319,93.4,0.277,0.653,0,SPITZER
PYC-2002-0141,PYC Star 215,2002,Transit,0.62,2.841,8.148,0.0123,5140.0,1.402,0.642,77.7,0.832,1.963,0,K2
PYC-2015-0142,PYC Star 865,2015,Microlensing,1514.503,3.877,39.553,2.8676,5456.0,0.507,1.372,18.5,0.339,0.801,0,TESS
PYC-2010-0143,PYC Star 039,2010,Transit,1.38,9.192,163.896,0.0241,4997.0,0.606,0.985,7.6,0.34,0.802,0,TESS
PYC-2021-0144,PYC Star 319,2021,Transit,561.04,6.638,130.607,1.3513,5252.0,0.806,1.046,38.6,0.499,1.179,0,TESS
PYC-2019-0145,PYC Star 323,2019,Transit,0.47,1.246,1.332,0.0118,3061.0,1.406,0.985,114.9,0.296,0.698,0,Kepler
PYC-2010-0146,PYC Star 377,2010,Transit,576.153,2.061,7.013,1.5929,3909.0,0.502,1.624,16.8,0.172,0.407,0,Kepler
PYC-2013-0147,PYC Star 271,2013,Transit,73.345,1.511,3.473,0.3949,6029.0,0.873,1.527,44.0,0.713,1.683,0,KMT
PYC-2024-0148,PYC Star 597,2024,Transit,0.474,1.024,0.66,0.0119,4548.0,0.819,0.99,288.2,0.381,0.899,0,KMT
PYC-2013-0149,PYC Star 825,2013,Transit,400.102,1.287,1.901,0.9568,6801.0,0.443,0.73,74.5,0.46,1.087,1,Kepler
PYC-2001-0150,PYC Star 600,2001,Radial Velocity,0.99,0.3,0.088,0.0217,3649.0,0.716,1.382,29.6,0.214,0.505,0,Kepler
PYC-2003-0151,PYC Star 199,2003,Radial Velocity,49.457,1.713,2.103,0.2353,6207.0,1.149,0.711,46.4,0.994,2.347,0,Kepler
PYC-2015-0152,PYC Star 897,2015,Transit,7.737,3.626,18.584,0.0639,4250.0,0.462,0.58,186.0,0.187,0.442,0,CoRoT
PYC-2011-0153,PYC Star 365,2011,Transit,349.851,2.158,11.367,1.0299,5576.0,1.698,1.191,198.8,1.186,2.8,0,Kepler
PYC-2011-0154,PYC Star 279,2011,Transit,809.74,2.494,11.187,1.9599,4534.0,1.111,1.532,62.7,0.513,1.211,0,HAT-P
PYC-2013-0155,PYC Star 614,2013,Transit,25.186,0.322,0.056,0.1604,4904.0,1.052,0.868,47.5,0.568,1.341,0,Kepler
PYC-1997-0156,PYC Star 877,1997,Transit,346.039,6.78,241.647,1.0112,5336.0,0.903,1.152,155.9,0.578,1.364,0,WASP
PYC-2011-0157,PYC Star 289,2011,Transit,1425.732,8.27,163.348,2.3618,4248.0,0.551,0.865,98.3,0.223,0.527,0,KMT
PYC-2007-0158,PYC Star 181,2007,Radial Velocity,187.393,0.859,0.52,0.6972,5521.0,0.672,1.287,199.2,0.46,1.086,1,Kepler
PYC-1997-0159,PYC Star 703,1997,Radial Velocity,7.076,4.654,39.521,0.082,4561.0,1.059,1.467,129.2,0.495,1.168,0,KMT
PYC-2005-0160,PYC Star 429,2005,Transit,24.97,4.59,44.17,0.1621,4960.0,0.671,0.912,57.9,0.371,0.876,0,HIRES
PYC-2004-0161,PYC Star 653,2004,Microlensing,3.114,1.082,2.401,0.037,2500.0,0.98,0.698,326.4,0.138,0.325,0,TESS
PYC-2012-0162,PYC Star 409,2012,Transit,23.901,3.764,13.406,0.137,4496.0,0.601,0.601,21.5,0.273,0.644,0,Kepler
PYC-2009-0163,PYC Star 032,2009,Transit,3.588,2.07,3.648,0.0511,5937.0,1.103,1.383,20.9,0.873,2.061,0,TESS
PYC-2002-0164,PYC Star 326,2002,Transit,537.282,2.354,4.678,1.1328,5425.0,1.14,0.672,110.3,0.754,1.78,1,K2
PYC-2021-0165,PYC Star 770,2021,Transit,92.369,1.35,4.396,0.4176,5598.0,0.433,1.139,19.2,0.305,0.719,1,SPITZER
PYC-2021-0166,PYC Star 842,2021,Radial Velocity,113.744,8.613,198.604,0.5031,4848.0,0.928,1.313,174.2,0.49,1.156,0,TESS
PYC-2009-0167,PYC Star 328,2009,Radial Velocity,1.07,2.131,6.071,0.0193,6309.0,0.454,0.839,275.5,0.406,0.958,0,OGLE
PYC-2010-0168,PYC Star 624,2010,Transit,0.405,1.535,1.359,0.0105,5060.0,0.39,0.943,47.8,0.224,0.529,0,TESS
PYC-2012-0169,PYC Star 087,2012,Microlensing,457.306,1.341,1.881,1.3053,4206.0,0.689,1.419,52.9,0.274,0.646,0,Kepler
PYC-2015-0170,PYC Star 196,2015,Transit,50.528,8.524,405.402,0.2434,5570.0,3.168,0.754,24.7,2.208,5.211,0,TESS
PYC-2006-0171,PYC Star 628,2006,Transit,1628.87,9.473,392.417,2.4365,5630.0,1.276,0.727,22.8,0.909,2.144,0,KMT
PYC-2022-0172,PYC Star 038,2022,Transit,48.294,5.725,88.484,0.2525,5367.0,1.684,0.921,102.6,1.089,2.571,0,K2
PYC-2019-0173,PYC Star 672,2019,Microlensing,2.716,14.44,473.207,0.0442,4437.0,1.183,1.564,5.7,0.523,1.235,0,K2
PYC-2011-0174,PYC Star 866,2011,Transit,203.563,3.316,19.162,0.8172,5053.0,0.987,1.757,383.4,0.566,1.336,0,Gaia
PYC-2012-0175,PYC Star 064,2012,Transit,208.167,11.6,630.231,0.6795,6054.0,1.347,0.966,62.7,1.109,2.617,0,K2
PYC-2009-0176,PYC Star 524,2009,Transit,0.718,12.935,473.401,0.0144,5230.0,0.675,0.779,157.6,0.415,0.979,0,KMT
PYC-2005-0177,PYC Star 319,2005,Pulsar Timing,194.984,11.456,786.539,0.7451,3470.0,1.112,1.451,49.4,0.301,0.71,0,Kepler
PYC-2020-0178,PYC Star 579,2020,Radial Velocity,2.665,2.41,15.327,0.031,4234.0,1.529,0.558,221.1,0.616,1.453,0,OGLE
PYC-1996-0179,PYC Star 806,1996,Radial Velocity,3.876,3.524,20.295,0.0497,4192.0,1.233,1.091,381.3,0.487,1.149,0,TESS
PYC-2008-0180,PYC Star 073,2008,Radial Velocity,0.529,2.159,10.637,0.0127,4121.0,1.574,0.985,136.8,0.601,1.418,0,Kepler
PYC-2020-0181,PYC Star 602,2020,Radial Velocity,107.936,1.9,5.02,0.5159,2900.0,0.977,1.573,33.4,0.185,0.436,0,Kepler
PYC-2020-0182,PYC Star 165,2020,Transit,273.877,1.38,4.099,0.9712,6502.0,1.927,1.629,276.5,1.83,4.319,0,Kepler
PYC-2012-0183,PYC Star 480,2012,Transit,3.128,1.167,4.131,0.0375,4011.0,0.819,0.719,93.1,0.296,0.699,0,WASP
PYC-2018-0184,PYC Star 398,2018,Radial Velocity,471.191,1.9,3.071,1.2085,4076.0,2.334,1.06,43.5,0.871,2.056,1,K2
